source_url,facility_name,phone,category,health_topics,scraped_at
http://www.acphd.org,Health Department - www.acphd.org,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://www.alpinecountyca.gov/552/Health-Human-Services,Health Department - Health-Human-Services,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://www.amadorgov.org/departments/health-human-services,Health Department - health-human-services,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://www.cityofberkeley.info/publichealth/,Health Department - ,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://www.buttecounty.net/610/Public-Health,Health Department - Public-Health,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://publichealth.calaverasgov.us/,Health Department - ,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://www.countyofcolusa.org/99/Public-Health,Health Department - Public-Health,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://www.cchealth.org,Health Department - www.cchealth.org,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://www.co.del-norte.ca.us/departments/publichealth,Health Department - publichealth,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://www.eldoradocounty.ca.gov/Health-Well-Being/Public-Health,Health Department - Public-Health,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://www.co.fresno.ca.us/departments/public-health,Health Department - public-health,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://www.countyofglenn.net/dept/health-human-services/public-health/welcome,Health Department - welcome,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
http://www.humboldtgov.org/330/Public-Health,Health Department - Public-Health,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://www.icphd.org/,Health Department - ,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://www.inyocounty.us/public-health-and-prevention,Health Department - public-health-and-prevention,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://kernpublichealth.com/,Health Department - ,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://www.kcdph.com/,Health Department - ,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://www.lakecountyca.gov/158/Public-Health,Health Department - Public-Health,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://www.lassencounty.org/dept/public-health/public-health,Health Department - public-health,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
http://www.longbeach.gov/health/,Health Department - ,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
http://publichealth.lacounty.gov/,Health Department - ,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://www.maderacounty.com/government/public-health,Health Department - public-health,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://www.marinhhs.org/,Health Department - ,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://www.mariposacounty.org/89/Health-Services-Division,Health Department - Health-Services-Division,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://www.mendocinocounty.gov/departments/public-health,Health Department - public-health,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
http://www.co.merced.ca.us/index.aspx?nid=82,Health Department - index.aspx?nid=82,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://publichealth.co.modoc.ca.us/,Health Department - ,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
http://www.monohealth.com,Health Department - www.monohealth.com,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
http://www.mtyhd.org,Health Department - www.mtyhd.org,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://www.countyofnapa.org/156/HHSA,Health Department - HHSA,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://www.mynevadacounty.com/551/Public-Health,Health Department - Public-Health,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
http://www.ochealthinfo.com/,Health Department - ,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
http://www.cityofpasadena.net/PublicHealth/,Health Department - ,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://www.placer.ca.gov/2863/Public-Health,Health Department - Public-Health,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://www.plumascounty.us/3219/Plumas-County-Public-Health-Agency,Health Department - Plumas-County-Public-Health-Agency,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
http://www.rivcoph.org,Health Department - www.rivcoph.org,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://dhs.saccounty.net/PUB/Pages/PUB-Home.aspx,Health Department - PUB-Home.aspx,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://hhsa.cosb.us/public-health-2/,Health Department - ,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
http://wp.sbcounty.gov/dph/,Health Department - ,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
http://www.sandiegocounty.gov/hhsa/programs/phs/,Health Department - ,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://www.sfdph.org,Health Department - www.sfdph.org,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
http://www.sjcphs.org,Health Department - www.sjcphs.org,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://www.slocounty.ca.gov/departments/health-agency,Health Department - health-agency,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
http://www.smhealth.org,Health Department - www.smhealth.org,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
http://www.sbcphd.org,Health Department - www.sbcphd.org,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
http://www.sccphd.org,Health Department - www.sccphd.org,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
http://www.santacruzhealth.org,Health Department - www.santacruzhealth.org,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://www.shastacounty.gov/health-human-services/page/public-health,Health Department - public-health,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://sierracounty.ca.gov/269/Public-Health,Health Department - Public-Health,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://www.co.siskiyou.ca.us/publichealth,Health Department - publichealth,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://www.solanocounty.com/depts/ph/default.asp,Health Department - default.asp,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
http://www.sonomacounty.ca.gov/Health-Services/,Health Department - ,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
http://www.schsa.org,Health Department - www.schsa.org,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://www.suttercounty.org/government/county-departments/health-and-human-services/public-health,Health Department - public-health,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
http://www.tehamacohealthservices.net,Health Department - www.tehamacohealthservices.net,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://www.trinitycounty.org/HHS,Health Department - HHS,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://tchhsa.org/eng/public-health/,Health Department - ,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://www.tuolumnecounty.ca.gov/250/Public-Health,Health Department - Public-Health,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://vchca.org/public-health/,Health Department - ,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://www.cityofvernon.org/government/health,Health Department - health,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://www.yolocounty.org/health-human-services,Health Department - health-human-services,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://www.yuba.org/departments/health_and_human_services/index.php,Health Department - index.php,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
